donation_id,user_id,donation_date,donation_amount
1,2,1/6/22,257.41
2,8,,55.26
3,9,,74.25
4,11,11/17/22,103.83
5,17,10/5/23,177.27
6,19,6/12/23,108.29
7,20,1/8/24,73.64
8,21,7/21/23,50.71
9,21,4/18/23,23.27
10,21,,401.52
11,22,8/1/23,164.19
12,25,5/18/23,1214.27
13,25,,251.44
14,26,5/8/23,153.66
15,29,11/9/22,28.69
16,30,10/10/23,25.33
17,31,1/7/24,27.38
18,41,9/30/22,163.07
19,42,4/18/22,173.89
20,44,10/17/22,470.82
21,46,4/23/22,24.43
22,47,,85.32
23,51,2/14/22,261.14
24,51,,154.71
25,52,11/23/23,180.75
26,54,10/13/22,162.65
27,55,3/7/22,487.44
28,56,7/25/22,50.24
29,56,10/26/23,543.08
30,56,,1069.24
31,58,,1032.55
32,60,,261.61
33,60,,275.08
34,60,,500.94
35,60,,186.88
36,61,,106.04
37,61,3/15/24,159.88
38,63,7/7/22,181.76
39,63,6/2/22,84.39
40,65,1/15/24,1012.53
41,67,3/4/24,201.13
42,67,1/10/24,60.35
43,67,,190.19
44,67,,50.07
45,68,9/10/23,23.32
46,74,4/27/24,422.99
47,75,6/12/22,225.91
48,76,,744.35
49,77,4/17/23,171.01
50,78,,998.03
51,80,12/5/23,82.69
52,80,6/26/23,180.01
53,84,3/8/23,45.67
54,84,,26.09
55,85,11/9/22,1131.58
56,85,7/3/23,1010.02
57,89,6/12/23,230.66
58,92,11/7/23,519.78
59,97,,164.25
60,99,5/22/22,43.29
61,99,,91.5
62,101,12/21/23,41.09
63,109,,259.86
64,111,9/23/22,855.59
65,111,10/18/22,79.83
66,111,6/16/22,26.32
67,112,,84.97
68,114,10/16/22,90.7
69,115,9/22/22,27.97
70,117,11/3/22,280.34
71,119,,119.32
72,119,4/20/23,304.63
73,120,8/6/23,197.79
74,120,,48.34
75,122,6/10/22,83.12
76,122,5/13/22,247
77,123,2/25/24,510.39
78,123,2/20/23,247.67
79,126,4/4/23,93.66
80,129,10/2/23,255.49
81,129,,187.61
82,130,,111.01
83,131,,1126.17
84,131,,578.94
85,133,7/2/24,227.02
86,135,,82.55
87,139,11/25/23,1047.25
88,142,,1043.99
89,142,1/31/24,22.96
90,143,,82.8
91,143,,173.16
92,144,7/17/24,93.53
93,146,8/11/22,88.2
94,149,5/19/24,566.36
95,150,6/16/22,73.53
96,155,10/1/23,204.12
97,156,10/23/22,25.72
98,157,,992.38
99,159,11/6/22,93.59
100,159,12/8/22,144.09
101,159,,821.94
102,160,1/19/24,959.77
103,160,12/27/22,1033.23
104,160,9/8/22,49.81
105,161,4/30/24,109.25
106,171,10/29/22,65.36
107,172,8/11/23,1180.16
108,172,4/19/23,27.89
109,173,7/18/23,24.08
110,173,,799.57
111,176,9/20/23,229.6
112,178,,71.7
113,181,9/19/23,161.12
114,183,6/7/23,75.37
115,185,,483.58
116,185,12/27/22,147.96
117,185,,134.06
118,186,2/10/24,1052.91
119,186,4/14/24,22.94
120,187,,288.89
121,187,,265.2
122,188,,213.21
123,188,,160.58
124,188,,206.01
125,189,,73.81
126,189,1/11/24,504.56
127,189,12/31/23,79.58
128,190,,488.4
129,194,,70.09
130,195,10/31/22,572.12
131,195,3/22/23,156.8
132,198,9/26/22,112.63
133,199,11/25/22,1083.59
134,201,10/16/22,50.67
135,201,11/18/23,26.13
136,201,2/11/24,497.89
137,201,11/25/23,78.68
138,204,8/12/23,58.85
139,206,9/18/23,185.01
140,207,5/9/23,113.29
141,211,,115.62
142,213,10/18/23,63.53
143,213,9/15/23,21.29
144,213,9/11/23,223.99
145,214,5/3/24,78.58
146,215,7/23/23,229.34
147,218,5/6/24,26.86
148,221,2/11/24,155.08
149,222,,23.13
150,225,7/17/24,125.36
151,225,,127.4
152,230,5/6/23,71.16
153,234,,26.38
154,235,,167.83
155,236,,210.88
156,237,11/29/22,53.68
157,239,,67.82
158,240,6/12/24,65.14
159,242,6/20/24,1023.22
160,243,4/4/24,486.57
161,243,6/23/24,211.88
162,246,7/26/24,267.54
163,250,5/27/24,78.74
164,252,,78.37
165,253,11/10/24,82.07
166,255,8/30/24,780.16
167,256,,125.98
168,256,,102.28
169,256,,83.87
170,257,,211.45
171,261,,247.41
172,261,8/28/24,200.13
173,262,1/12/23,155.18
174,263,4/17/23,248.13
175,263,,250.3
176,264,1/20/23,70.88
177,267,3/4/23,201.19
178,267,10/16/24,216.77
179,269,,232.61
180,270,7/22/23,438.31
181,271,,45.9
182,272,,1040.38
183,272,12/18/24,74.29
184,272,12/16/24,158.76
185,273,10/3/23,23.86
186,274,,80.47
187,274,10/21/24,74.85
188,275,7/14/23,225.53
189,278,6/22/24,455.51
190,283,2/16/24,82.53
191,287,3/16/23,57.33
192,288,5/28/23,76.94
193,294,11/17/23,49.02
194,298,10/23/24,465.97
195,299,9/20/23,139.89
196,303,7/31/24,74.74
197,304,6/14/24,230.96
198,305,3/21/24,52.89
199,308,2/25/24,52.05
200,311,1/15/25,203.19
201,315,6/4/23,94.37
202,317,11/24/23,69.49
203,319,10/20/24,473.94
204,324,,184.51
205,325,,921.39
206,329,2/12/23,61.94
207,329,1/24/23,78.41
208,330,2/10/23,1106.46
209,332,10/7/23,1104.52
210,332,9/3/24,74.4
211,333,,530.11
212,338,,68.74
213,338,,114.25
214,338,12/14/23,70.48
215,339,,40.69
216,340,1/14/24,203.43
217,341,3/7/23,136.01
218,345,,162.92
219,347,4/3/23,220.57
220,354,6/4/23,213.63
221,361,8/28/24,23.7
222,361,,110.91
223,361,7/2/24,58.77
224,362,11/10/23,544.27
225,363,,474.36
226,363,4/16/25,49.18
227,363,,1031.71
228,366,6/17/24,111.57
229,371,5/19/23,248.54
230,372,,29.45
231,373,6/12/24,21.88
232,373,10/6/23,223.77
233,376,,176.89
234,378,11/12/23,44.88
235,378,,30.09
236,385,9/18/23,279.42
237,387,,494.09
238,388,,144.09
239,389,,73.35
240,389,,269.29
241,389,,233.54
242,393,,1152.45
243,394,6/7/25,260.27
244,395,,148.71
245,396,9/25/23,484
246,397,,138.45
247,397,3/11/24,26.26
248,398,,55.3
249,404,,85.81
250,406,,193.09
251,406,5/2/24,80.67
252,406,,1011.29
253,407,11/30/24,237.63
254,414,2/11/24,47.32
255,414,2/15/24,101.51
256,416,10/5/23,264.32
257,417,10/21/23,104.83
258,420,10/30/23,108.81
259,421,5/24/24,249.69
260,421,,883.68
261,422,1/14/25,148.78
262,422,9/15/23,23.45
263,424,,140.19
264,429,1/13/25,430.23
265,431,11/28/24,82.71
266,433,12/9/23,153.69
267,437,,527.14
268,443,,76
269,446,10/7/23,1015.65
270,447,,252.16
271,449,9/30/24,216.3
272,449,3/2/24,89.49
273,450,,264.36
274,450,5/26/24,500.12
275,450,7/11/23,191.55
276,450,,67.87
277,458,7/14/23,268.55
278,458,2/13/24,94.09
279,458,3/19/24,48.93
280,459,,154.41
281,459,2/8/25,88.68
282,460,12/31/23,129.79
283,465,11/25/23,484.29
284,467,6/4/25,86.46
285,469,3/11/24,997.28
286,471,9/17/24,464.84
287,471,6/4/25,279.23
288,472,,77.39
289,472,2/6/24,278.79
290,472,6/30/25,26.76
291,474,,25.35
292,476,3/19/25,96.41
293,476,7/22/24,153.77
294,477,8/1/25,974.13
295,479,11/5/23,483.1
296,481,2/16/25,843.07
297,483,10/13/24,1018.98
298,486,1/21/24,24.98
299,487,1/23/24,992.41
300,487,8/28/23,229.29
301,488,,27.72
302,489,,920.76
303,492,2/4/24,95.33
304,492,,24.4
305,495,,78.8
306,498,2/20/24,189.45
307,503,3/9/24,26.95
308,503,,453.63
309,503,2/25/25,205.48
310,503,4/17/24,67.15
311,504,7/14/24,281.85
312,506,,80.77
313,510,11/24/24,920.69
314,511,7/14/25,81.68
315,512,7/20/24,73.44
316,513,,1151.95
317,514,11/10/23,141.46
318,518,1/29/25,49.96
319,518,5/11/24,104.78
320,518,,540.82
321,521,,86.6
322,521,2/28/24,50.22
323,523,11/17/24,277.99
324,530,,264.86
325,532,7/19/24,912.69
326,536,8/15/25,80.43
327,537,,87.63
328,540,9/4/24,239.78
329,540,12/4/23,185.34
330,542,,223.9
331,545,3/3/25,91.73
332,546,,49.94
333,548,8/20/24,28.9
334,550,4/3/25,84.01
335,552,10/31/25,23.95
336,553,,90.79
337,556,10/19/25,27.74
338,557,9/3/24,1005.39
339,559,,23.05
340,560,11/8/25,26.06
341,561,10/7/25,99.58
342,561,,203.63
343,561,,98.49
344,561,,490.35
345,562,,241.89
346,567,10/19/24,1026.42
347,568,5/1/25,55.37
348,568,12/14/25,238.53
349,575,,71.01
350,579,3/17/25,110.2
351,580,1/24/24,55.84
352,580,8/26/25,88.98
353,581,11/24/25,132.82
354,582,8/19/24,146.62
355,583,10/17/24,233.95
356,587,12/8/24,44.84
357,590,9/19/25,252.19
358,590,,76.47
359,591,4/18/24,22.43
360,592,,25.19
361,592,12/25/23,117.42
362,593,12/29/24,94.05
363,593,10/30/24,71.75
364,595,,528.08
365,595,,24.33
366,596,2/7/24,107.87
367,596,,85.9
368,596,,256.59
369,597,5/24/24,86.39
370,597,,1029.21
371,597,3/7/25,271.82
372,598,6/29/25,53.45
373,600,11/7/24,210.37
374,605,7/21/24,239.35
375,605,,23.86
376,605,2/6/25,69.64
377,609,,199.23
378,610,4/21/24,28.92
379,611,,219.52
380,611,,40.3
381,612,9/8/24,80.07
382,612,3/17/26,245.34
383,613,6/27/25,426.15
384,615,5/19/25,164.86
385,617,,212.51
386,618,,26.56
387,618,7/19/24,73.25
388,621,,901.21
389,625,3/6/25,135.77
390,625,11/21/25,238.68
391,626,3/12/25,47.69
392,628,10/30/25,84.87
393,629,3/1/26,97.95
394,630,,82.69
395,632,,200.87
396,633,9/6/24,211.57
397,633,,98.1
398,633,2/28/25,65.98
399,634,,26.71
400,637,8/17/25,92.89
401,638,10/2/25,238.94
402,638,12/9/25,487.36
403,641,3/2/25,467.43
404,644,,269.97
405,650,5/4/24,756.04
406,651,8/14/24,246.69
407,656,12/1/25,826.27
408,658,,19.52
409,660,6/27/24,51.25
410,660,8/21/24,53.51
411,661,,165.11
412,666,4/27/25,97.18
413,666,4/23/25,988.7
414,668,11/25/24,1070.26
415,670,,47.4
416,672,2/16/25,51.74
417,674,,78.65
418,675,2/12/25,20.43
419,677,10/20/25,1104.82
420,677,9/1/25,245.84
421,677,2/9/25,25.71
422,677,12/9/25,438.61
423,678,,26.09
424,680,1/1/26,69.62
425,682,2/8/26,24.75
426,686,1/26/26,207.57
427,687,,189.89
428,687,6/3/26,551.84
429,688,4/18/26,519.26
430,692,2/4/26,227.99
431,693,,75.68
432,693,,27.32
433,695,9/5/25,299.25
434,702,10/21/24,44.28
435,703,,67.53
436,704,,145.5
437,704,5/30/25,69.06
438,707,12/26/24,208.29
439,708,4/9/26,23.54
440,709,,148.42
441,710,12/16/25,232.51
442,711,12/8/24,77.66
443,713,7/1/25,79.58
444,715,4/5/26,89.38
445,717,,72.18
446,722,,125.34
447,724,,201.68
448,724,,53.63
449,729,,77.59
450,732,1/11/26,1061.95
451,734,,54.59
452,734,,195.1
453,735,,267.08
454,736,11/9/24,184.03
455,738,,152.12
456,741,7/22/26,21.11
457,742,,517.32
458,742,,196.78
459,742,,179.73
460,742,,116.62
461,746,5/26/26,80.02
462,746,8/7/25,69.85
463,747,5/15/25,25.24
464,748,6/11/25,50.93
465,748,,47.46
466,749,10/6/24,26.34
467,750,4/21/25,251.35
468,751,2/19/25,59.75
469,752,,27.11
470,753,,222.63
471,753,1/30/26,146.03
472,754,,141.52
473,756,,893.27
474,756,,24.39
475,758,5/22/25,173.77
476,760,12/25/24,503.91
477,760,8/8/26,220.17
478,762,,25.47
479,764,2/22/26,24.4
480,764,12/13/24,331.22
481,765,2/20/26,947.3
482,765,9/28/24,238.64
483,774,9/15/24,139.29
484,777,11/7/25,22.77
485,778,,90.42
486,779,,67.08
487,779,3/22/26,140.31
488,781,11/20/24,70.34
489,782,,50.28
490,782,6/15/25,1070.23
491,784,,150.14
492,785,8/1/26,469.9
493,785,11/30/24,1122.55
494,786,,455.24
495,787,1/30/25,49.46
496,787,4/3/26,25.68
497,791,10/11/25,25.52
498,792,9/6/26,149.11
499,793,6/18/25,451.22
500,794,9/24/25,86.14
501,794,8/1/26,25.32
502,794,8/7/26,52.97
503,794,6/28/26,229.87
504,795,7/6/26,23.88
505,796,2/5/25,79.57
506,796,,444.52
507,796,,137.45
508,801,6/6/25,187.04
509,801,,96.83
510,804,,138.46
511,804,10/14/26,105.18
512,805,4/11/25,86.8
513,805,,185.54
514,806,,139.09
515,806,6/10/25,82.79
516,807,5/16/26,147.52
517,808,10/30/24,214.25
518,810,,1090.97
519,810,10/27/25,139.39
520,811,8/26/26,63.79
521,811,6/22/25,172.9
522,812,5/3/26,49.64
523,813,,517.77
524,816,10/15/25,143.75
525,819,8/16/25,985.99
526,820,5/19/26,517.2
527,821,10/5/25,77.2
528,821,2/17/25,26.48
529,822,12/21/24,121.81
530,823,3/18/25,49.61
531,823,10/21/25,228.81
532,824,,117.36
533,824,,57.94
534,824,12/13/24,27.79
535,824,2/14/26,22.95
536,826,2/15/26,262.14
537,827,,150.15
538,836,11/9/24,212.5
539,838,12/5/25,202.37
540,839,8/31/26,152.04
541,839,,451.88
542,841,7/19/26,146.3
543,842,,1074.62
544,847,5/2/26,225.91
545,849,,253.77
546,849,8/4/25,170.2
547,849,,154.9
548,849,12/31/24,105.19
549,850,,105.38
550,850,,149.53
551,862,,271.73
552,866,7/7/26,213.1
553,871,,25.93
554,873,,893.38
555,873,,251.09
556,874,6/15/25,48.42
557,877,7/12/25,256.36
558,879,,19.91
559,881,10/1/26,247.2
560,881,1/31/27,56.14
561,882,,199.5
562,882,12/7/25,432.2
563,884,,185.81
564,885,3/4/26,211.75
565,888,10/25/26,486.6
566,889,,49.84
567,890,10/21/25,54.69
568,894,,48.52
569,895,4/25/26,69.81
570,895,,522.81
571,896,,193.18
572,897,,918.48
573,897,3/7/27,197.11
574,897,10/9/26,218.22
575,899,7/23/25,283.51
576,901,2/1/25,240.19
577,909,10/28/26,26.18
578,910,12/26/26,948.14
579,910,11/9/26,214.74
580,910,6/19/26,105.26
581,913,1/7/26,36.83
582,915,6/30/26,97.09
583,915,6/12/26,488.74
584,915,7/24/26,289.1
585,917,5/31/26,440.95
586,918,9/25/26,99.36
587,919,,233.24
588,919,8/19/26,75.19
589,919,2/4/26,74.82
590,919,3/5/27,239.42
591,922,,1077.6
592,922,,73.7
593,922,,137.72
594,923,11/9/26,529.28
595,923,12/24/26,268.66
596,927,,48.41
597,927,,290.34
598,927,3/21/27,61.99
599,929,9/11/25,61.8
600,932,,425.65
601,932,10/28/26,96.99
602,933,2/27/27,909.04
603,934,,26.44
604,934,9/9/26,75.45
605,936,9/30/25,88.96
606,936,9/16/25,551.11
607,937,,294.52
608,939,12/11/25,116.5
609,942,,75.89
610,942,,98.85
611,945,,64.66
612,949,3/26/25,947.18
613,952,7/31/26,74.58
614,954,3/28/27,50.96
615,955,8/16/26,212.8
616,958,1/25/26,204.4
617,963,10/18/25,187.09
618,964,10/31/26,75.26
619,965,4/4/26,100.67
620,966,6/30/26,81.9
621,967,,25.19
622,970,8/30/25,164.81
623,971,6/9/26,44.4
624,972,3/19/26,246.45
625,974,1/2/27,238.04
626,977,8/28/25,23.81
627,980,9/17/26,789.34
628,980,,142.24
629,980,8/12/25,70.78
630,983,,1096.07
631,984,11/17/25,512.71
632,985,10/20/25,53.21
633,987,3/16/27,143.33
634,988,2/22/26,168.1
635,990,4/7/26,905.66
636,990,,26.53
637,994,6/20/26,38.61
638,994,8/1/26,272.66
639,995,,210.99
640,997,5/22/27,52.81
641,998,1/5/26,28.27
642,1000,,110.52
643,1001,12/6/25,540.01
644,1001,10/22/26,124.69
645,1003,,51.09
646,1006,12/14/26,46.67
647,1006,,982.25
648,1006,7/22/26,51.47
649,1014,1/24/27,24.56
650,1014,8/8/26,73.13
651,1015,9/22/26,185.64
652,1016,7/2/27,208.1
653,1018,,198.99
654,1018,,499.98
655,1021,3/21/26,487.86
656,1022,,143.03
657,1023,8/11/27,55.28
658,1023,7/28/26,178.16
659,1025,5/6/26,229.69
660,1025,9/22/25,54.28
661,1025,4/26/26,1153.29
662,1027,,269.73
663,1029,5/10/26,41.81
664,1030,,79.68
665,1032,7/26/27,26.79
666,1032,2/28/26,1107.05
667,1033,11/2/25,97.45
668,1033,,177.93
669,1037,,1046.29
670,1041,12/29/26,86.04
671,1043,,156.89
672,1043,3/14/26,200.23
673,1049,,170.79
674,1052,,973.59
675,1053,6/7/26,155.95
676,1055,7/28/27,24.45
677,1056,4/15/27,1090.42
678,1057,10/14/27,457
679,1057,12/25/25,40.17
680,1057,11/15/26,45.33
681,1058,7/16/26,196.37
682,1062,2/17/26,28.98
683,1062,9/9/26,143.75
684,1064,,176.58
685,1066,,970.78
686,1067,,431.92
687,1069,2/26/27,235.97
688,1070,,552.31
689,1074,4/30/27,264.67
690,1077,10/15/27,20.32
691,1078,,150.76
692,1078,7/4/26,194.87
693,1078,2/25/27,175.44
694,1078,4/11/26,215.94
695,1083,8/4/27,41.34
696,1091,,27.14
697,1094,,61.76
698,1094,4/7/26,412.4
699,1096,,169.64
700,1097,,1116.07
701,1102,,228.19
702,1102,,506.27
703,1102,4/10/27,26.52
704,1102,10/11/27,77.45
705,1103,,1044.94
706,1104,,140.4
707,1105,5/26/27,149.46
708,1106,6/3/26,72.85
709,1106,,106.93
710,1106,,571.63
711,1108,8/19/27,948.18
712,1109,4/5/26,22.65
713,1110,,70.24
714,1116,,1213.23
715,1116,,49.13
716,1116,4/22/27,48.24
717,1118,10/16/27,78.12
718,1118,,79.42
719,1119,,111.73
720,1119,3/14/26,141.54
721,1119,,85.04
722,1119,6/29/27,86.38
723,1120,10/29/27,44.34
724,1122,,85.74
725,1123,12/25/26,26.98
726,1123,8/25/27,23.91
727,1126,,90.19
728,1127,,220.55
729,1127,,1022.13
730,1129,,287.21
731,1131,,542.21
732,1131,10/18/22,109.98
733,1134,1/14/24,106.98
734,1137,,135.8
735,1137,4/16/23,940.55
736,1137,4/25/22,539.39
737,1137,4/21/22,1072.06
738,1142,1/30/23,1083.31
739,1142,8/17/23,1115.52
740,1142,,251.89
741,1143,,22
742,1145,,223.34
743,1146,11/5/24,99.87
744,1146,12/12/24,24.19
745,1146,12/24/24,178.85
746,1146,1/10/25,1157.4
747,1147,,548.72
748,1147,1/3/25,179.35
749,1150,,23.4
750,1150,6/25/24,26.08
751,1154,,841.2
752,1154,5/8/25,923.08
753,1158,10/21/26,87.14
754,1158,12/23/26,148.43
755,1160,1/14/26,179.22
756,1162,4/19/27,75.43
757,1163,,49.26
758,1165,6/27/27,167.12
759,1165,,205.84
760,1166,,149.61
761,1167,5/16/27,479.45
762,1167,10/7/25,161.55
763,1168,2/13/26,114.75
764,1168,7/10/27,1213.65
765,1172,,136.74
766,1172,10/23/25,104.3
767,1172,,893.88